Date,Subscriber count
2020-08-12,101000.0
2020-08-13,101000.0
2020-08-14,151000.0
2020-08-15,158000.0
2020-08-16,165000.0
2020-08-17,173000.0
2020-08-18,181000.0
2020-08-19,201000.0
2020-08-20,203000.0
2020-08-21,205000.0
2020-08-22,207000.0
2020-08-23,209000.0
2020-08-24,211000.0
2020-08-25,214000.0
2020-08-26,216000.0
2020-08-27,218000.0
2020-08-28,220000.0
2020-08-29,222000.0
2020-08-30,225000.0
2020-08-31,227000.0
2020-09-01,229000.0
2020-09-02,231000.0
2020-09-03,233000.0
2020-09-04,236000.0
2020-09-05,238000.0
2020-09-06,240000.0
2020-09-07,242000.0
2020-09-08,244000.0
2020-09-09,247000.0
2020-09-10,249000.0
2020-09-11,251000.0
2020-09-12,253000.0
2020-09-13,255000.0
2020-09-14,258000.0
2020-09-15,260000.0
2020-09-16,262000.0
2020-09-17,264000.0
2020-09-18,266000.0
2020-09-19,268000.0
2020-09-20,271000.0
2020-09-21,273000.0
2020-09-22,275000.0
2020-09-23,277000.0
2020-09-24,279000.0
2020-09-25,282000.0
2020-09-26,284000.0
2020-09-27,286000.0
2020-09-28,288000.0
2020-09-29,290000.0
2020-09-30,293000.0
2020-10-01,295000.0
2020-10-02,297000.0
2020-10-03,302000.0
2020-10-04,303000.0
2020-10-05,304000.0
2020-10-06,306000.0
2020-10-07,307000.0
2020-10-08,309000.0
2020-10-09,310000.0
2020-10-10,312000.0
2020-10-11,313000.0
2020-10-12,315000.0
2020-10-13,316000.0
2020-10-14,318000.0
2020-10-15,319000.0
2020-10-16,321000.0
2020-10-17,322000.0
2020-10-18,324000.0
2020-10-19,325000.0
2020-10-20,327000.0
2020-10-21,328000.0
2020-10-22,330000.0
2020-10-23,331000.0
2020-10-24,333000.0
2020-10-25,334000.0
2020-10-26,336000.0
2020-10-27,337000.0
2020-10-28,339000.0
2020-10-29,340000.0
2020-10-30,342000.0
2020-10-31,343000.0
2020-11-01,345000.0
2020-11-02,346000.0
2020-11-03,348000.0
2020-11-04,349000.0
2020-11-05,351000.0
2020-11-06,352000.0
2020-11-07,354000.0
2020-11-08,355000.0
2020-11-09,357000.0
2020-11-10,358000.0
2020-11-11,360000.0
2020-11-12,361000.0
2020-11-13,363000.0
2020-11-14,364000.0
2020-11-15,366000.0
2020-11-16,367000.0
2020-11-17,369000.0
2020-11-18,370000.0
2020-11-19,372000.0
2020-11-20,373000.0
2020-11-21,375000.0
2020-11-22,376000.0
2020-11-23,378000.0
2020-11-24,379000.0
2020-11-25,381000.0
2020-11-26,382000.0
2020-11-27,384000.0
2020-11-28,385000.0
2020-11-29,387000.0
2020-11-30,388000.0
2020-12-01,390000.0
2020-12-02,391000.0
2020-12-03,393000.0
2020-12-04,394000.0
2020-12-05,395000.0
2020-12-06,397000.0
2020-12-07,398000.0
2020-12-08,402000.0
